"","answer","word","n","total","tf","idf","tf_idf"
"1","answer5","stores",8,435,0.049079754601227,1.94591014905531,0.0955047925916718
"2","answer6","china",16,538,0.0711111111111111,1.25276296849537,0.0890853666485595
"3","answer5","retail",7,435,0.0429447852760736,1.94591014905531,0.0835666935177128
"4","answer6","trade",8,538,0.0355555555555556,1.94591014905531,0.0691879164108556
"5","answer5","shift",9,435,0.0552147239263804,1.25276296849537,0.0691709614506645
"6","answer1","job",6,483,0.0355029585798817,1.94591014905531,0.0690855674220821
"7","answer7","decrease",6,284,0.055045871559633,1.25276296849537,0.0689594294584606
"8","answer4","trump",7,281,0.0693069306930693,0.847297860387204,0.0587236140862418
"9","answer4","currency",3,281,0.0297029702970297,1.94591014905531,0.0577993113580786
"10","answer4","federal",3,281,0.0297029702970297,1.94591014905531,0.0577993113580786
"11","answer4","reserve",3,281,0.0297029702970297,1.94591014905531,0.0577993113580786
"12","answer5","buying",4,435,0.0245398773006135,1.94591014905531,0.0477523962958359
"13","answer3","fed",5,369,0.037593984962406,1.25276296849537,0.047096352199074
"14","answer3","talked",3,369,0.0225563909774436,1.94591014905531,0.0438927101290672
"15","answer4","elect",2,281,0.0198019801980198,1.94591014905531,0.0385328742387191
"16","answer4","manipulator",2,281,0.0198019801980198,1.94591014905531,0.0385328742387191
"17","answer6","trump",10,538,0.0444444444444444,0.847297860387204,0.0376576826838757
"18","answer4","china",3,281,0.0297029702970297,1.25276296849537,0.0372107812424367
"19","answer5","jobs",7,435,0.0429447852760736,0.847297860387204,0.0363870246792051
"20","answer5","people",7,435,0.0429447852760736,0.847297860387204,0.0363870246792051
"21","answer7","actual",2,284,0.018348623853211,1.94591014905531,0.0357047733771617
"22","answer7","directly",2,284,0.018348623853211,1.94591014905531,0.0357047733771617
"23","answer7","hand",2,284,0.018348623853211,1.94591014905531,0.0357047733771617
"24","answer6","nuclear",4,538,0.0177777777777778,1.94591014905531,0.0345939582054278
"25","answer1","focus",3,483,0.0177514792899408,1.94591014905531,0.0345427837110411
"26","answer2","fed",4,364,0.0268456375838926,1.25276296849537,0.0336312206307481
"27","answer1","people",6,483,0.0355029585798817,0.847297860387204,0.0300815808421492
"28","answer3","means",3,369,0.0225563909774436,1.25276296849537,0.0282578113194444
"29","answer3","stable",3,369,0.0225563909774436,1.25276296849537,0.0282578113194444
"30","answer2","bank",2,364,0.0134228187919463,1.94591014905531,0.0261195993161787
"31","answer2","mentioned",2,364,0.0134228187919463,1.94591014905531,0.0261195993161787
"32","answer2","ms",2,364,0.0134228187919463,1.94591014905531,0.0261195993161787
"33","answer2","stance",2,364,0.0134228187919463,1.94591014905531,0.0261195993161787
"34","answer5","government",5,435,0.0306748466257669,0.847297860387204,0.0259907319137179
"35","answer6","aggressive",3,538,0.0133333333333333,1.94591014905531,0.0259454686540708
"36","answer6","america",3,538,0.0133333333333333,1.94591014905531,0.0259454686540708
"37","answer6","impact",3,538,0.0133333333333333,1.94591014905531,0.0259454686540708
"38","answer3","rates",6,369,0.0451127819548872,0.559615787935423,0.0252458250196431
"39","answer3","yellen",6,369,0.0451127819548872,0.559615787935423,0.0252458250196431
"40","answer4","low",3,281,0.0297029702970297,0.847297860387204,0.0251672631798179
"41","answer4","president",3,281,0.0297029702970297,0.847297860387204,0.0251672631798179
"42","answer1","trump",5,483,0.029585798816568,0.847297860387204,0.0250679840351244
"43","answer4","countries",2,281,0.0198019801980198,1.25276296849537,0.0248071874949578
"44","answer4","means",2,281,0.0198019801980198,1.25276296849537,0.0248071874949578
"45","answer5","april",2,435,0.0122699386503067,1.94591014905531,0.023876198147918
"46","answer5","attention",2,435,0.0122699386503067,1.94591014905531,0.023876198147918
"47","answer5","decline",2,435,0.0122699386503067,1.94591014905531,0.023876198147918
"48","answer5","factory",2,435,0.0122699386503067,1.94591014905531,0.023876198147918
"49","answer5","necessarily",2,435,0.0122699386503067,1.94591014905531,0.023876198147918
"50","answer5","online",2,435,0.0122699386503067,1.94591014905531,0.023876198147918
"51","answer5","spend",2,435,0.0122699386503067,1.94591014905531,0.023876198147918
"52","answer5","won",2,435,0.0122699386503067,1.94591014905531,0.023876198147918
"53","answer7","supply",3,284,0.0275229357798165,0.847297860387204,0.0233201245978129
"54","answer1","multiple",2,483,0.0118343195266272,1.94591014905531,0.0230285224740274
"55","answer1","population",2,483,0.0118343195266272,1.94591014905531,0.0230285224740274
"56","answer1","ratio",2,483,0.0118343195266272,1.94591014905531,0.0230285224740274
"57","answer1","significant",2,483,0.0118343195266272,1.94591014905531,0.0230285224740274
"58","answer1","ultimately",2,483,0.0118343195266272,1.94591014905531,0.0230285224740274
"59","answer1","workers",2,483,0.0118343195266272,1.94591014905531,0.0230285224740274
"60","answer7","expectations",2,284,0.018348623853211,1.25276296849537,0.0229864764861535
"61","answer2","term",4,364,0.0268456375838926,0.847297860387204,0.0227462512855625
"62","answer2","yellen",6,364,0.0402684563758389,0.559615787935423,0.0225348639437083
"63","answer1","employment",3,483,0.0177514792899408,1.25276296849537,0.0222383958904503
"64","answer3","inflation",8,369,0.0601503759398496,0.336472236621213,0.020238931526088
"65","answer1","jobs",4,483,0.0236686390532544,0.847297860387204,0.0200543872280995
"66","answer4","announced",1,281,0.0099009900990099,1.94591014905531,0.0192664371193595
"67","answer4","belief",1,281,0.0099009900990099,1.94591014905531,0.0192664371193595
"68","answer4","believed",1,281,0.0099009900990099,1.94591014905531,0.0192664371193595
"69","answer4","bonds",1,281,0.0099009900990099,1.94591014905531,0.0192664371193595
